0,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Emission_Norm,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,City_Mileage,Highway_Mileage,Kerb_Weight,Ground_Clearance,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Power,torque,Seating_Capacity,Wheelbase,Boot_Space,Minimum_Turning_Radius,Number_of_Airbags
305,Renault,Lodgy,85 Ps Rxe 7 Seater,964199,1461,4,BS IV,"Front, Transverse",50,Diesel,1697,4498,1751,MUV,21.04,0,1299,174,0,Torsion Beam with Anti roll bars,1490,1478,85,200,7,2810,207,5.55,0
306,Volkswagen,Vento,Trendline 1.6 (P),876500,1598,4,BS IV,"Front, Transverse",55,Petrol,1467,4390,1699,Sedan,12.1,0,1140,163,McPherson strut with stabiliser bar,Semi-independent trailing arm,1457,1500,105,153,5,2553,494,5.4,2
307,Volkswagen,Vento,Highline 1.6 (P),999900,1598,4,BS IV,"Front, Transverse",55,Petrol,1467,4390,1699,Sedan,0,0,1140,163,McPherson strut with stabiliser bar,Semi-independent trailing arm,1457,1500,105,153,5,2553,494,5.4,2
308,Volkswagen,Vento,Comfortline 1.6 (P),999900,1598,4,BS IV,"Front, Transverse",55,Petrol,1467,4390,1699,Sedan,0,0,1137,163,McPherson strut with stabiliser bar,Semi-independent trailing arm,1457,1500,105,153,5,2553,494,5.4,2
309,Volkswagen,Vento,Highline 1.2 (P) Dsg,1197500,1197,4,BS IV,"Front, Transverse",55,Petrol,1467,4390,1699,Sedan,0,0,1179,163,McPherson strut with stabiliser bar,Semi-independent trailing arm,1457,1500,105,175,5,2553,494,5.4,2
310,Volkswagen,Vento,Highline Plus 1.2 (P) Dsg,1449500,1197,4,BS IV,"Front, Transverse",55,Petrol,1467,4390,1699,Sedan,0,0,1174,163,McPherson strut with stabiliser bar,Semi-independent trailing arm,1457,1500,105,175,5,2553,494,5.4,2
311,Volkswagen,Vento,Trendline 1.5 (D),958500,1498,4,BS IV,"Front, Transverse",55,Diesel,1467,4390,1699,Sedan,0,0,1193,163,McPherson strut with stabiliser bar,Semi-independent trailing arm,1457,1500,105,250,5,2553,494,5.4,2
312,Volkswagen,Vento,Comfortline 1.5 (D),999900,1498,4,BS IV,"Front, Transverse",55,Diesel,1467,4390,1699,Sedan,0,0,1208,163,McPherson strut with stabiliser bar,Semi-independent trailing arm,1457,1500,105,250,5,2553,494,5.4,2
313,Volkswagen,Vento,Highline 1.5 (D),1210500,1498,4,BS IV,"Front, Longitudinal",55,Diesel,1467,4390,1699,Sedan,0,0,1211,163,McPherson strut with stabiliser bar,Semi-independent trailing arm,1457,1500,105,250,5,2553,494,5.4,2
314,Volkswagen,Vento,Highline 1.5 (D) Dsg,1336500,1498,4,BS IV,"Front, Transverse",55,Diesel,1467,4390,1699,Sedan,0,0,1211,163,McPherson strut with stabiliser bar,Semi-independent trailing arm,1457,1500,105,250,5,2553,494,5.4,2
315,Volkswagen,Vento,Highline Plus 1.5 (D) Dsg,1317500,1498,4,BS IV,"Front, Transverse",55,Diesel,1467,4390,1699,Sedan,0,0,1211,163,Mc Pherson Strut with stabiliser bar,Semi-independent trailing arm,1457,1500,105,250,5,2553,494,5.4,2
316,Volkswagen,Vento,Gt Line (D),1449500,1498,4,BS IV,"Front, Transverse",45,Diesel,1469,3971,1682,Hatchback,19,19,1148,165,MacPherson Strut with Staboilizer Bar,Semi-independent trailing arm,1460,1456,110,250,5,2469,250,4.97,2
317,Volkswagen,Vento,Gt Line (P) Dsg,1317500,1197,4,BS IV,"Front, Transverse",45,Petrol,1469,3971,1682,Hatchback,17,17,1109,165,MacPherson Strut with Staboilizer Bar,Semi-independent trailing arm,1460,1456,105,175,5,2469,280,4.97,2
318,Mahindra,E2O Plus,P4,881425,0,0,BS IV,"Front, Transverse",0,Electric,1585,3390,1575,Hatchback,80,0,937,170,Mac Pherson Strut type independent suspension with coaxial spring.,Twin Pivot Trailing Arm with Coaxial spring Damper,0,0,25,70,4,2258,135,4.35,0
319,Mahindra,E2O Plus,P6,957177,0,0,BS IV,"Front, Transverse",0,Electric,1585,3390,1575,Hatchback,80,0,937,170,Mac Pherson Strut type independent suspension with coaxial spring.,Twin Pivot Trailing Arm with Coaxial spring Damper,0,0,25,70,4,2258,135,4.35,0
320,Tata,Tigor Ev,Xm+,960868,0,0,BS VI,0,35,Electric,1537,3992,1677,Sedan,0,0,0,165,"Independent Lower Wishbone, McPherson Strut with coil Spring",Semi-Independent; Twist beam with dual path strut,0,0,41,105,5,2450,255,0,2
321,Tata,Tigor Ev,Xt+,975868,0,0,BS VI,0,35,Electric,1537,3992,1677,Sedan,0,0,0,165,"Independent Lower Wishbone, McPherson Strut with coil Spring",Semi-Independent; Twist beam with dual path strut,0,0,41,105,5,2450,255,0,2
322,Tata,Tigor Ev,Xe+,944175,0,0,BS VI,0,35,Electric,1537,3992,1677,Sedan,0,0,0,165,"Independent Lower Wishbone, McPherson Strut with coil Spring",Semi-Independent; Twist beam with dual path strut,0,0,41,105,5,2450,255,0,1
323,Honda,Brv,E Petrol,952900,1497,4,BS IV,"Front, Transverse",42,Petrol,1666,4453,1735,SUV,12,15.4,1199,210,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,0,0,119,145,7,2662,223,5.3,2
324,Honda,Brv,S Petrol,1052900,1497,4,BS IV,"Front, Transverse",42,Petrol,1666,4453,1735,SUV,12,15.4,1217,210,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,0,0,119,145,7,2662,223,5.3,2
325,Honda,Brv,V Petrol,1167900,1497,4,BS IV,"Front, Transverse",42,Petrol,1666,4453,1735,SUV,12,15.4,1225,210,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,0,0,119,145,7,2662,223,5.3,2
326,Honda,Brv,Vx Petrol,1271900,1497,4,BS IV,"Front, Transverse",42,Petrol,1666,4456,1735,SUV,12,15.4,1235,210,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,0,0,119,145,7,2662,223,5.3,2
327,Honda,Brv,V Cvt Petrol,1285900,1497,4,BS IV,"Front, Transverse",42,Petrol,1666,4456,1735,SUV,12,16,1238,210,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,0,0,119,145,7,2662,223,5.3,2
328,Honda,Brv,S Diesel,1187900,1498,4,BS IV,"Front, Transverse",42,Diesel,1666,4453,1735,SUV,16.2,21.9,1289,210,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,0,0,100,200,7,2662,223,5.5,2
329,Honda,Brv,V Diesel,1273900,1498,4,BS IV,"Front, Transverse",42,Diesel,1666,4453,1735,SUV,16.2,21.9,1301,210,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,0,0,100,200,7,2662,223,5.5,2
330,Honda,Brv,Vx Diesel,1382900,1498,4,BS IV,"Front, Transverse",42,Diesel,1666,4456,1735,SUV,16.2,21.9,1306,210,"McPherson Strut, Coil Spring",Torsion Beam Coil Spring,0,0,100,200,7,2662,223,5.5,2
